customer_id,tenure_months,plan,monthly_fee,support_tickets,logins_last_30d,churned
C001,2,Basic,499,5,3,1
C002,14,Premium,999,1,22,0
C003,5,Basic,499,4,7,1
C004,24,Premium,999,0,25,0
C005,8,Standard,699,3,11,0
C006,3,Standard,699,6,4,1
C007,19,Premium,999,1,18,0
C008,7,Basic,499,2,9,0
C009,4,Basic,499,7,2,1
C010,28,Premium,999,0,26,0
C011,10,Standard,699,4,8,1
C012,16,Standard,699,1,15,0
C013,6,Basic,499,5,5,1
C014,21,Premium,999,2,20,0
C015,12,Standard,699,2,13,0
C016,1,Basic,499,8,1,1
C017,18,Premium,999,1,19,0
C018,9,Standard,699,5,6,1
C019,11,Basic,499,3,10,0
C020,30,Premium,999,0,28,0
