month,week,content_pillar,format,funnel_stage,channel,objective
Month 1,Week 1,Education,Long-form Blog,Awareness,Website,Organic discovery
Month 1,Week 2,Product,Carousel,Consideration,LinkedIn,Product education
Month 1,Week 3,Proof,Case Study,Consideration,Website,Trust building
Month 1,Week 4,Education,Short Video,Awareness,Instagram,Reach
Month 2,Week 1,Product,Comparison Blog,Consideration,Website,Commercial intent
Month 2,Week 2,Proof,Customer Story,Decision,LinkedIn,Social proof
Month 2,Week 3,Education,How-To Video,Awareness,YouTube,Search discovery
Month 2,Week 4,Product,Carousel,Consideration,LinkedIn,Lead generation
Month 3,Week 1,Proof,Case Study,Decision,Website,Conversion support
Month 3,Week 2,Education,Expert Post,Awareness,LinkedIn,Authority
Month 3,Week 3,Product,Landing Page,Decision,Website,Conversion
Month 3,Week 4,Proof,Video Testimonial,Decision,YouTube,Trust
