domain,entity,segment,metric_1,metric_2,metric_3,metric_4,metric_5
Customer,Customer A,High Value,125000,18,7200,0.92,4.6
Customer,Customer B,Growth,78000,11,5100,0.84,4.1
Customer,Customer C,At Risk,34000,24,1800,0.52,3.1
Customer,Customer D,High Value,148000,20,8300,0.95,4.8
Customer,Customer E,Core,62000,16,3900,0.78,4.0
HR,Employee A,Sales,0.0,32,1,0.48,2.9
HR,Employee B,Technology,0.0,61,0,0.91,4.3
HR,Employee C,Sales,0.0,18,1,0.55,3.0
HR,Employee D,Operations,0.0,44,0,0.73,3.8
HR,Employee E,Technology,0.0,73,0,0.89,4.5
Finance,Aug-2026,Monthly,1340000,710000,418000,222000,0.1655
Finance,Jul-2026,Monthly,1280000,690000,397000,203000,0.1586
Finance,Jun-2026,Monthly,1210000,655000,378000,177000,0.1463
Fund,Fund Alpha,Large Cap,14.8,11.2,18.4,-9.6,1.08
Fund,Fund Beta,Flexi Cap,17.2,15.9,22.7,-13.4,0.96
Fund,Fund Gamma,Debt,8.1,4.2,7.2,-3.1,1.21
