date,source,visits,product_views,add_to_cart,checkout,purchases,revenue
2026-01-01,Organic,12000,8200,2600,1500,980,294000
2026-01-01,Paid Search,9000,6200,2100,1250,720,216000
2026-01-01,Social,15000,8700,1800,900,430,129000
2026-01-01,Email,4000,3100,1300,850,650,195000
2026-02-01,Organic,13500,9000,2900,1680,1100,330000
2026-02-01,Paid Search,9500,6500,2200,1320,760,228000
2026-02-01,Social,16200,9200,1900,940,450,135000
2026-02-01,Email,4300,3300,1400,920,710,213000
2026-03-01,Organic,14200,9600,3100,1810,1190,357000
2026-03-01,Paid Search,10100,6900,2350,1410,810,243000
2026-03-01,Social,17000,9700,2050,1000,470,141000
2026-03-01,Email,4500,3450,1480,960,735,220500
